Avoir,aurais eu,aurais eu,aurait eu,aurait eu,aurions eu,auriez eu,auraient eu,auraient eu
Être,aurais été,aurais été,aurait été,aurait été,aurions été,auriez été,auraient été,auraient été
Aller,serais allé,serait allé,serait allé,serait allée,serions allés,seriez allés,seraient allés,seraient allées
Faire,aurais fait,aurais fait,aurait fait,aurait fait,aurions fait,auriez fait,auraient fait,auraient fait
Pouvoir,aurais pu,aurais pu,aurait pu,aurait pu,aurions pu,auriez pu,auraient pu,auraient pu
Mettre,aurais mis,aurais mis,aurait mis,aurait mis,aurions mis,auriez mis,auraient mis,auraient mis
Dire,aurais dit,aurais dit,aurait dit,aurait dit,aurions dit,auriez dit,auraient dit,auraient dit
Devoir,aurais dû,aurais dû,aurait dû,aurait dû,aurions dû,auriez dû,auraient dû,auraient dû
Prendre,aurais pris,aurais pris,aurait pris,aurait pris,aurions pris,auriez pris,auraient pris,auraient pris
Donner,aurais donné,aurais donné,aurait donné,aurait donné,aurions donné,auriez donné,auraient donné,auraient donné
Vouloir,aurais voulu,aurais voulu,aurait voulu,aurait voulu,aurions voulu,auriez voulu,auraient voulu,auraient voulu
Savoir,aurais su,aurais su,aurait su,aurait su,aurions su,auriez su,auraient su,auraient su
Voir,aurais vu,aurais vu,aurait vu,aurait vu,aurions vu,auriez vu,auraient su,auraient su
Demander,aurais demandé,aurais demandé,aurait demandé,aurait demandé,aurions demandé,auriez demandé,auraient demandé,auraient demandé
Trouver,aurais trouvé,aurais trouvé,aurait trouvé,aurait trouvé,aurions trouvé,auriez trouvé,auraient trouvé,auraient trouvé
Rendre,aurais rendu,aurais rendu,aurait rendu,aurait rendu,aurions rendu,auriez rendu,auraient rendu,auraient rendu
Venir,serais venu,serait venu,serait venu,serait venue,serions venus,seriez venus,seraient venus,seraient venues
Passer,aurais passé,aurais passé,aurait passé,aurait passé,aurions passé,auriez passé,auraient passé,auraient passé
Comprendre,aurais compris,aurais compris,aurait compris,aurait compris,aurions compris,auriez compris,auraient compris,auraient compris
Rester,serais resté,serait resté,serait resté,serait restée,serions restés,seriez restés,seraient restés,seraient restées
Tenir,aurais tenu,aurais tenu,aurait tenu,aurait tenu,aurions tenu,auriez tenu,auraient tenu,auraient tenu
Porter,aurais porté,aurais porté,aurait porté,aurait porté,aurions porté,auriez porté,auraient porté,auraient porté
