Avoir,aurai eu,auras eu,aura eu,aura eu,aurons eu,aurez eu,auront eu,auront eu
Être,aurai été,auras été,aura été,aura été,aurons été,aurez été,auront été,auront été
Aller,serai allé,seras allé,sera allé,sera allée,serons allés,serez allés,seront allés,seront allées
Faire,aurai fait,auras fait,aura fait,aura fait,aurons fait,aurez fait,auront fait,auront fait
Pouvoir,aurai pu,auras pu,aura pu,aura pu,aurons pu,aurez pu,auront pu,auront pu
Mettre,aurai mis,auras mis,aura mis,aura mis,aurons mis,aurez mis,auront mis,auront mis
Dire,aurai dit,auras dit,aura dit,aura dit,aurons dit,aurez dit,auront dit,auront dit
Devoir,aurai dû,auras dû,aura dû,aura dû,aurons dû,aurez dû,auront dû,auront dû
Prendre,aurai pris,auras pris,aura pris,aura pris,aurons pris,aurez pris,auront pris,auront pris
Donner,aurai donné,auras donné,aura donné,aura donné,aurons donné,aurez donné,auront donné,auront donné
Vouloir,aurai voulu,auras voulu,aura voulu,aura voulu,aurons voulu,aurez voulu,auront voulu,auront voulu
Savoir,aurai su,auras su,aura su,aura su,aurons su,aurez su,auront su,auront su
Voir,aurai vu,auras vu,aura vu,aura vu,aurons vu,aurez vu,auront su,auront su
Demander,aurai demandé,auras demandé,aura demandé,aura demandé,aurons demandé,aurez demandé,auront demandé,auront demandé
Trouver,aurai trouvé,auras trouvé,aura trouvé,aura trouvé,aurons trouvé,aurez trouvé,auront trouvé,auront trouvé
Rendre,aurai rendu,auras rendu,aura rendu,aura rendu,aurons rendu,aurez rendu,auront rendu,auront rendu
Venir,serai venu,seras venu,sera venu,sera venue,serons venus,serez venus,seront venus,seront venues
Passer,aurai passé,auras passé,aura passé,aura passé,aurons passé,aurez passé,auront passé,auront passé
Comprendre,aurai compris,auras compris,aura compris,aura compris,aurons compris,aurez compris,auront compris,auront compris
Rester,serai resté,seras resté,sera resté,sera restée,serons restés,serez restés,seront restés,seront restées
Tenir,aurai tenu,auras tenu,aura tenu,aura tenu,aurons tenu,aurez tenu,auront tenu,auront tenu
Porter,aurai porté,auras porté,aura porté,aura porté,aurons porté,aurez porté,auront porté,auront porté
Parler,aurai parlé,auras parlé,aura parlé,aura parlé,aurons parlé,aurez parlé,auront parlé,auront parlé
Montrer,aurai montré,auras montré,aura montré,aura montré,aurons montré,aurez montré,auront montré,auront montré
Continuer,aurai continué,auras continué,aura continué,aura continué,aurons continué,aurez continué,auront continué,auront continué
Penser,aurai pensé,auras pensé,aura pensé,aura pensé,aurons pensé,aurez pensé,auront pensé,auront pensé
Suivre,aurai suivi,auras suivi,aura suivi,aura suivi,aurons suivi,aurez suivi,auront suivi,auront suivi
Connaître,aurai connu,auras connu,aura connu,aura connu,aurons connu,aurez connu,auront connu,auront connu
Croire,aurai cru,auras cru,aura cru,aura cru,aurons cru,aurez cru,auront cru,auront cru
Commencer,aurai commencé,auras commencé,aura commencé,aura commencé,aurons commencé,aurez commencé,auront commencé,auront commencé
Compter,aurai compté,auras compté,aura compté,aura compté,aurons compté,aurez compté,auront compté,auront compté
Entendre,aurai entendu,auras entendu,aura entendu,aura entendu,aurons entendu,aurez entendu,auront entendu,auront entendu
Attendre,aurai attendu,auras attendu,aura attendu,aura attendu,aurons attendu,aurez attendu,auront attendu,auront attendu
Remettre,aurai remis,auras remis,aura remis,aura remis,aurons remis,aurez remis,auront remis,auront remis
Appeler,aurai appelé,auras appelé,aura appelé,aura appelé,aurons appelé,aurez appelé,auront appelé,auront appelé
Permettre,aurai permis,auras permis,aura permis,aura permis,aurons permis,aurez permis,auront permis,auront permis
Occuper,aurai occupé,auras occupé,aura occupé,aura occupé,aurons occupé,aurez occupé,auront occupé,auront occupé
Devenir,serai devenu,seras devenu,sera devenu,sera devenue,serons devenus,serez devenus,seront devenus,seront devenues
Partir,serai parti,seras parti,sera parti,sera partie,serons partis,serez partis,seront partis,seront parties
Décider,aurai décidé,auras décidé,aura décidé,aura décidé,aurons décidé,aurez décidé,auront décidé,auront décidé
Arriver,serai arrivé,seras arrivé,sera arrivé,sera arrivée,serons arrivés,serez arrivés,seront arrivés,seront arrivées
Servir,aurai servi,auras servi,aura servi,aura servi,aurons servi,aurez servi,auront servi,auront servi
Sembler,aurai semblé,auras semblé,aura semblé,aura semblé,aurons semblé,aurez semblé,auront semblé,auront semblé
Revenir,serai revenu,seras revenu,sera revenu,sera revenue,serons revenus,serez revenus,seront revenus,seront revenues
Laisser,aurai laissé,auras laissé,aura laissé,aura laissé,aurons laissé,aurez laissé,auront laissé,auront laissé
Recevoir,aurai reçu,auras reçu,aura reçu,aura reçu,aurons reçu,aurez reçu,auront reçu,auront reçu
Répondre,aurai répondu,auras répondu,aura répondu,aura répondu,aurons répondu,aurez répondu,auront répondu,auront répondu
Vivre,aurai vécu,auras vécu,aura vécu,aura vécu,aurons vécu,aurez vécu,auront vécu,auront vécu
Rappeler,aurai rappelé,auras rappelé,aura rappelé,aura rappelé,aurons rappelé,aurez rappelé,auront rappelé,auront rappelé
Présenter,aurai présenté, auras présenté, aura présenté, aura présenté, aurons présenté, aurez présenté, auront présenté, auront présenté
Accepter,aurai accepté, auras accepté, aura accepté, aura accepté, aurons accepté, aurez accepté, auront accepté, auront accepté
Agir,aurai agi, auras agi,aura agi, aura agi, aurons agi, aurez agi, auront agi, auront agi
Poser, aurai posé, auras posé, aura posé, aura posé, aurons posé, aurez posé, auront posé, auront posé
Jouer, aurai joué, auras joué, aura joué, aura joué, aurons joué, aurez joué, auront joué, auront joué
Reconnaître,aurai reconnu,auras reconnu,aura reconnu,aura reconnu,aurons reconnu,aurez reconnu,auront reconnu,auront reconnu
Choisir, aurai choisi, auras choisi, aura choisi, aura choisi, aurons choisi, aurez choisi, auront choisi, auront choisi
Toucher, aurai touché, auras touché, aura touché, aura touché, aurons touché, aurez touché, auront touché, auront touché
Aimer, aurai aimé, auras aimé, aura aimé, aura aimé, aurons aimé, aurez aimé, auront aimé, auront aimé
Retrouver,aurai retrouvé,auras retrouvé,aura retrouvé,aura retrouvé,aurons retrouvé,aurez retrouvé,auront retrouvé,auront retrouvé
Perdre, aurai perdu, auras perdu, aura perdu, aura perdu, aurons perdu, aurez perdu, auront perdu, auront perdu
Expliquer, aurai expliqué, auras expliqué, aura expliqué, aura expliqué, aurons expliqué, aurez expliqué, auront expliqué, auront expliqué
Considérer, aurai considéré, auras considéré, aura considéré, aura considéré, aurons considéré, aurez considéré, auront considéré, auront considéré
Ouvrir, aurai ouvert, auras ouvert, aura ouvert, aura ouvert, aurons ouvert, aurez ouvert, auront ouvert, auront ouvert
Gagner, aurai gagné, auras gagné, aura gagné, aura gagné, aurons gagné, aurez gagné, auront gagné, auront gagné
Exister, aurai existé, auras existé, aura existé, aura existé, aurons existé, aurez existé, auront existé, auront existé
Refuser, aurai refusé, auras refusé, aura refusé, aura refusé, aurons refusé, aurez refusé, auront refusé, auront refusé
Lire, aurai lu, auras lu, aura lu, aura lu, aurons lu, aurez lu, auront lu, auront lu
Réussir, aurai réussi, auras réussi, aura réussi, aura réussi, aurons réussi, aurez réussi, auront réussi, auront réussi
Changer, aurai changé, auras changé, aura changé, aura changé, aurons changé, aurez changé, auront changé, auront changé
Travailler, aurai travaillé, auras travaillé, aura travaillé, aura travaillé, aurons travaillé, aurez travaillé, auront travaillé, auront travaillé
Représenter,aurai représenté, auras représenté, aura représenté, aura représenté, aurons représenté, aurez représenté, auront représenté, auront représenté
