Avoir, aie, aies, ait, ait, ayons, ayez, aient, aient
Être, sois, sois, soit, soit, soyons, soyez, soient, soient
Aller, aille, ailles, aille, aille, allions, alliez, aillent, aillent
Faire, fasse, fasses, fasse, fasse, fassions, fassiez, fassent, fassent
Pouvoir, puisse, puisses, puisse, puisse, puissions, puissiez, puissent, puissent
Mettre, mette, mettes, mette, mette, mettions, mettiez, mettent, mettent
Dire, dise, dises, dise, dise, disions, disiez, disent, disent
Devoir, doive, doives, doive, doive, devions, deviez, doivent, doivent
Prendre, prenne, prennes, prenne, prenne, prenions, preniez, prennent, prennent
Donner, donne, donnes, donne, donne, donnions, donniez, donnent, donnent
Vouloir, veuille, veuilles, veuille, veuille, voulions, vouliez, veuillent, veuillent
Savoir, sache, saches, sache, sache, sachions, sachiez, sachent, sachent
Voir, voie, voies, voie, voie, voyions, voyiez, voient, voient
Demander, demande, demandes, demande, demande, demandions, demandiez, demandent, demandent
Trouver, trouve, trouves, trouve, trouve, trouvions, trouviez, trouvent, trouvent
Rendre, rende, rendes, rende, rende, rendions, rendiez, rendent, rendent
Venir, vienne, viennes, vienne, vienne, venions, veniez, viennent, viennent
Passer, passe, passes, passe, passe, passions, passiez, passent, passent
Comprendre, comprenne, comprennes, comprenne, comprenne, comprenions, compreniez, comprennent, comprennent
Rester, reste, restes, reste, reste, restions, restiez, restent, restent
Tenir, tienne, tiennes, tienne, tienne, tenions, teniez, tiennent, tiennent
Porter, porte, portes, porte, porte, portions, portiez, portent, portent
Parler, parle, parles, parle, parle, parlions, parliez, parlent, parlent
Montrer, montre, montres, montre, montre, montrions, montriez, montrent, montrent
Continuer, continue, continues, continue, continue, continuions, continuiez, continuent, continuent
Penser, pense, penses, pense, pense, pensions, pensiez, pensent, pensent
Suivre, suive, suives, suive, suive, suivions, suiviez, suivent, suivent
Connaître, connaisse, connaisses, connaisse, connaisse, connaissions, connaissiez, connaissent, connaissent
Croire, croie, croies, croie, croie, croyions, croyiez, croient, croient
Commencer, commence, commences, commence, commence, commencions, commenciez, commencent, commencent
Compter, compte, comptes, compte, compte, comptions, comptiez, comptent, comptent
Entendre, entende, entendes, entende, entende, entendions, entendiez, entendent, entendent
Attendre, attende, attendes, attende, attende, attendions, attendiez, attendent, attendent
Remettre, remette, remettes, remette, remette, remettions, remettiez, remettent, remettent
Appeler, appelle, appelles, appelle, appelle, appelions, appeliez, appellent, appellent
Permettre, permette, permettes, permette, permette, permettions, permettiez, permettent, permettent
Occuper, occupe, occupes, occupe, occupe, occupions, occupiez, occupent, occupent
Devenir, devienne, deviennes, devienne, devienne, devenions, deveniez, deviennent, deviennent
Partir, parte, partes, parte, parte, partions, partiez, partent, partent
Décider, décide, décides, décide, décide, décidions, décidiez, décident, décident
Arriver, arrive, arrives, arrive, arrive, arrivions, arriviez, arrivent, arrivent
Servir, serve, serves, serve, serve, servions, serviez, servent, servent
Sembler, semble, sembles, semble, semble, semblions, sembliez, semblent, semblent
Revenir, revienne, reviennes, revienne, revienne, revenions, reveniez, reviennent, reviennent
Laisser, laisse, laisses, laisse, laisse, laissions, laissiez, laissent, laissent
Recevoir, reçoive, reçoives, reçoive, reçoive, recevions, receviez, reçoivent, reçoivent
Répondre, réponde, répondes, réponde, réponde, répondions, répondiez, répondent, répondent
Vivre, vive, vives, vive, vive, vivions, viviez, vivent, vivent
Rappeler, rappelle, rappelles, rappelle, rappelle, rappelions, rappeliez, rappellent, rappellent
Présenter, présente, présentes, présente, présente, présentions, présentiez, présentent, présentent
Accepter, accepte, acceptes, accepte, accepte, acceptions, acceptiez, acceptent, acceptent
Agir, agisse, agisses, agisse, agisse, agissions, agissiez, agissent, agissent
Poser, pose, poses, pose, pose, posions, posiez, posent, posent
Jouer, joue, joues, joue, joue, jouions, jouiez, jouent, jouent
Reconnaître, reconnaisse, reconnaisses, reconnaisse, reconnaisse, reconnaissions, reconnaissiez, reconnaissent, reconnaissent
