Avoir, ai, as, a, a, avons, avez, ont, ont
Être, suis, es, est, est, sommes, êtes, sont, sont
Aller, vais, vas, va, va, allons, allez, vont, vont
Faire, fais, fais, fait, fait, faison, faites, font, font
Pouvoir, peux, peux, peut, pouvons, pouvez, peuvent, peuvent
Mettre, mets, mets, met, met, mettons, mettez, mettent, mettent
Dire, dis, dis, dit, dit, disons, dites, disent, disent
Devoir, dois, dois, doit, doit, devons, devez, doivent, doivent
Prendre, prends, prends, prend, prend, prenons, prenez, prennent
Donner, donne, donnes, donne, donne, donnons, donnez, donnent, donnent
Vouloir, veux, veux, veut, veut, voulons, voulez, veulent, veulent
Savoir, sais, sais, sait, sait, savons, savez, savent, savent
Voir, vois, vois, voit, voit, voyons, voyez, voient, voient
Demander, demande, demandes, demande, demande, demandons, demandez, demandent, demandent
Trouver, trouve, trouves, trouve, trouve, trouvons, trouvez, trouvent, trouvent
Rendre, rends, rends, rend, rend, rendons, rendez, rendent, rendent
Venir, viens, viens, vient, vient, venons, venez, viennent, viennent
Passer, passe, passes, passe, passe, passons, passez, passent, passent
Comprendre, comprends, comprends, comprend, comprend, comprenons, comprenez, comprennent, comprennent
Rester, reste, restes, reste, reste, restons, restez, restent, restent
Tenir, tiens, tiens, tient, tient, tenons, tenez, tiennent, tiennent
Porter, portes, portes, porte, porte, portons, portez, portent, portent
Parler, parle, parles, parle, parle, parlons, parlez, parlent, parlent
Montrer, montre, montres, montre, montre, montrons, montrez, montrent, montrent
Continuer, continue, continues, continue, continue, continuons, continuez, continuent, continuent
Penser, pense, penses, pense, pense, pensons, pensez, pensent, pensent
Suivre, suis, suis, suit, suit, suivons, suivez, suivent, suivent
Connaître, connais, connais, connaît, connaît, connaissons, connaissez, connaissent, connaissent
Croire, crois, crois, croit, croit, croyons, croyez, croient, croient
Commencer, commence, commences, commence, commence, commençons, commencez, commencent, commencent
Compter, compte, comptes, compte, compte, comptons, comptez, comptent, comptent
Entendre, entends, entends, entend, entend, entendons, entendez, entendent, entendent
Attendre, attends, attends, attend, attend, attendons, attendez, attendent, attendent
Remettre, remets, remets, remet, remet, remettons, remettez, remettent, remettent
Appeler, appelle, appelles, appelle, appelle, appelons, appelez, appellent, appellent
Permettre, permets, permets, permet, permet, permettons, permettez, permettent, permettent
Occuper, occupe, occupes, occupe, occupe, occupons, occupez, occupent, occupent
Devenir, deviens, deviens, devient, devient, devenons, devenez, deviennent, deviennent
Partir, pars, pars, part, part, partons, partez, partent, partent
Décider, décide, décides, décide, décide, décidons, décidez, décident, décident
Arriver, arrive, arrives, arrive, arrive, arrivons, arrivez, arrivent, arrivent
Servir, sers, sers, sert, sert, servons, servez, servent, servent
Sembler, semble, sembles, semble, semble, semblons, semblez, semblent, semblent
Revenir, reviens, reviens, revient, revient, revenons, revenez, reviennent, reviennent
Laisser, laisse, laisses, laisse, laisse, laissons, laissez, laissent, laissent
Recevoir, reçois, reçois, reçoit, reçoit, recevons, recevez, reçoivent, reçoivent
Répondre, réponds, réponds, répond, répond, répondons, répondes, répondent, répondent
Vivre, vis, vis, vit, vit, vivons, vivez, vivent, vivent
Rappeler, rappelle, rappelles, rappelle, rappelle, rappelons, rappelez, rappellent
